zcta	cen_lat	cen_long	
10001	40.75067198	-73.99728118	0
10002	40.71576195	-73.98625795	0
10003	40.73182933	-73.98918087	0
10004	40.69431879	-74.0159361	0
10005	40.70597362	-74.00876818	0
10006	40.70961448	-74.01295372	0
10007	40.7138637	-74.00780641	0
10009	40.7264081	-73.978636	0
10010	40.73904481	-73.98223196	0
10011	40.74200196	-74.00059443	0
10012	40.7255807	-73.99807845	0
10013	40.72010707	-74.00492787	0
10014	40.73369792	-74.00703296	0
10016	40.7452205	-73.97829384	0
10017	40.75234677	-73.97241699	0
10018	40.75532935	-73.99312763	0
10019	40.76579296	-73.98706776	0
10020	40.7592137	-73.98003766	0
10021	40.76915866	-73.95863032	0
10022	40.7585548	-73.96781723	0
10023	40.77592132	-73.98260652	0
10024	40.79219784	-73.97485268	0
10025	40.79860116	-73.96662227	0
10026	40.80238051	-73.95268147	1
10027	40.81181902	-73.95322375	1
10028	40.77642645	-73.95349348	0
10029	40.79169823	-73.94387558	1
10030	40.81826662	-73.94285633	1
10031	40.82529421	-73.95005602	1
10032	40.83882468	-73.9428461	1
10033	40.85053768	-73.93386236	1
10034	40.86723028	-73.92441463	1
10035	40.7956527	-73.92973171	1
10036	40.75928041	-73.98990979	0
10037	40.81298454	-73.93728494	1
10038	40.70932037	-74.00253226	0
10039	40.83085662	-73.93606821	1
10040	40.85829772	-73.93051954	1
10044	40.7620509	-73.94993206	0
10065	40.76458397	-73.96301297	0
10069	40.77597832	-73.99052759	0
10075	40.77335649	-73.95620831	0
10103	40.76077973	-73.97766963	0
10110	40.75449854	-73.98225639	0
10111	40.75911398	-73.97759598	0
10112	40.75916748	-73.97966815	0
10115	40.81085195	-73.96374368	1
10119	40.7503098	-73.9929788	0
10128	40.7814298	-73.94994253	1
10152	40.7584035	-73.97203144	0
10153	40.7636221	-73.97243869	0
10154	40.7577785	-73.9724875	0
10162	40.76929842	-73.94994216	0
10165	40.75213096	-73.97872225	0
10167	40.75464849	-73.97477101	0
10168	40.75144841	-73.97710321	0
10169	40.75439127	-73.97609841	0
10170	40.75262526	-73.97587655	0
10171	40.75589935	-73.97385833	0
10172	40.75527332	-73.9743148	0
10173	40.75413057	-73.97936372	0
10174	40.751441	-73.9750035	0
10177	40.75513873	-73.97593368	0
10199	40.75139261	-73.99722891	0
10271	40.70823557	-74.01054139	0
10278	40.71518207	-74.00377839	0
10279	40.7126262	-74.00866884	0
10280	40.70877787	-74.01680832	0
10282	40.71665151	-74.01537527	0
10301	40.62885951	-74.0954292	1
10302	40.63068871	-74.13777514	1
10303	40.63237231	-74.16902573	1
10304	40.60704302	-74.09335286	1
10305	40.59649369	-74.07468232	1
10306	40.57155345	-74.12525991	1
10307	40.5074024	-74.23852784	1
10308	40.55151384	-74.15039437	1
10309	40.53126397	-74.22063277	1
10310	40.63264881	-74.11614789	1
10311	40.60524121	-74.1795026	1
10312	40.54463476	-74.18158258	1
10314	40.59969395	-74.16566223	1
10451	40.82077601	-73.92368908	1
10452	40.83739013	-73.92342915	1
10453	40.85227988	-73.91349409	1
10454	40.80551761	-73.91658986	1
10455	40.81470999	-73.90859181	1
10456	40.82989214	-73.90811761	1
10457	40.84714966	-73.89867762	1
10458	40.86254568	-73.8881452	1
10459	40.8258748	-73.89297112	1
10460	40.84176415	-73.87956903	1
10461	40.84743483	-73.84055407	1
10462	40.84284699	-73.85875562	1
10463	40.88084811	-73.90663669	1
10464	40.8677796	-73.79966627	1
10465	40.82372384	-73.82294342	1
10466	40.89093139	-73.84592151	1
10467	40.88090923	-73.87384635	1
10468	40.86815177	-73.89988108	1
10469	40.86857	-73.84821779	1
10470	40.89592029	-73.86816731	1
10471	40.89938097	-73.9017237	1
10472	40.82955547	-73.86935931	1
10473	40.8178285	-73.85859159	1
10474	40.81061439	-73.88441185	1
10475	40.8693029	-73.82558368	1
11001	40.72352361	-73.7044687	1
11003	40.70138267	-73.7079271	1
11004	40.74620433	-73.7114788	1
11005	40.75659569	-73.71417786	1
11040	40.74559366	-73.67971264	1
11101	40.74726653	-73.93868912	1
11102	40.7726354	-73.92593721	1
11103	40.76257427	-73.91344712	1
11104	40.74463459	-73.92020065	1
11105	40.77887682	-73.90676869	1
11106	40.76179382	-73.93180797	1
11109	40.74576018	-73.9570094	1
11201	40.69448601	-73.98995137	1
11203	40.64959142	-73.93437115	1
11204	40.61877963	-73.98482617	1
11205	40.69469595	-73.96628672	1
11206	40.70195405	-73.94235759	1
11207	40.67074824	-73.89421126	1
11208	40.66977088	-73.87137327	1
11209	40.62198267	-74.03032373	1
11210	40.62814802	-73.94632419	1
11211	40.7123372	-73.95353207	1
11212	40.66293659	-73.91302859	1
11213	40.67107768	-73.93633575	1
